customer_id,revenue,most_recent_visit,number_of_orders,recency_days
26680,779,10/20/2006,8,73
18260,719,8/27/2006,6,127
31835,958,6/23/2006,9,192
28602,261,2/11/2006,5,324
38433,1652,8/21/2006,16,133
33465,902,11/2/2005,10,425
22188,735,10/19/2006,9,74
21572,544,4/14/2006,3,262
18108,777,6/3/2006,6,212
29137,707,8/4/2005,7,515
30644,807,5/12/2006,8,234
15440,1028,5/26/2006,9,220
21382,1789,5/10/2006,17,236
269,1339,10/10/2006,13,83
3324,867,2/19/2006,10,316
13234,907,10/26/2006,10,67
18608,1277,7/5/2006,14,180
2327,996,9/20/2006,10,103
20670,770,2/25/2006,7,310
9105,803,3/15/2006,9,292
19342,805,11/23/2006,12,39
31640,924,11/6/2005,9,421
36454,538,3/17/2006,7,290
38816,814,7/31/2006,9,154
19635,891,8/15/2006,12,139
31330,1072,10/15/2006,14,78
8077,1328,11/8/2006,15,54
27347,717,10/25/2005,7,433
35369,1972,9/25/2006,19,98
14603,696,6/7/2006,7,208
14486,1482,10/3/2006,12,90
8631,809,8/18/2006,10,136
32709,1172,12/2/2005,11,395
305,873,9/29/2006,10,94
20591,880,6/21/2006,11,194
1335,957,8/26/2006,11,128
7068,1286,7/8/2006,16,177
35342,1267,12/2/2006,14,30
3357,1276,9/2/2006,12,121
16912,1636,10/7/2006,14,86
2568,1296,7/25/2006,10,160
6229,531,3/12/2006,8,295
25323,1269,6/16/2006,11,199
13459,854,6/6/2006,7,209
7870,690,10/21/2006,7,72
29419,1365,8/25/2006,12,129
8468,1558,11/7/2006,14,55
36430,286,11/8/2004,3,784
34120,1504,8/8/2006,15,146
8391,840,11/22/2006,8,40
9873,1170,10/27/2006,11,66
27524,539,8/5/2006,4,149
3031,1802,12/7/2006,18,25
30183,699,11/28/2005,7,399
31579,797,10/14/2006,8,79
25670,611,10/24/2006,6,69
19918,645,7/1/2006,6,184
7615,1477,8/7/2006,16,147
3256,11,5/30/2004,1,946
1767,662,7/18/2006,8,167
8721,1111,10/15/2006,11,78
11279,608,4/18/2006,9,258
33656,571,7/5/2005,4,545
9346,243,12/3/2006,6,29
13446,406,10/18/2005,5,440
29811,1231,8/21/2006,11,133
17234,1378,12/19/2005,14,378
35229,635,12/29/2006,10,3
19451,760,9/10/2006,10,113
722,1586,8/18/2006,16,136
6787,626,8/3/2006,8,151
32140,709,7/14/2006,9,171
8422,865,12/29/2006,11,3
14498,1024,11/9/2006,13,53
33155,1030,4/29/2006,9,247
19798,1384,4/13/2006,16,263
16692,1746,7/13/2006,13,172
11378,597,5/17/2006,6,229
28246,893,11/26/2006,9,36
37743,1228,6/13/2006,13,202
35359,1103,9/25/2006,14,98
15429,1121,6/1/2006,11,214
22652,1319,8/11/2006,15,143
27115,601,5/5/2006,5,241
5219,482,7/1/2006,9,184
29602,665,10/8/2006,7,85
9847,667,7/29/2006,6,156
39067,904,11/8/2006,11,54
22172,898,10/19/2006,10,74
5151,1064,7/25/2006,12,160
34388,644,11/25/2006,7,37
35476,406,9/30/2006,6,93
26036,969,9/21/2006,9,102
27266,1359,6/4/2006,12,211
33933,717,6/12/2006,9,203
15808,143,4/5/2005,2,636
24956,1356,10/26/2006,13,67
37891,1248,6/22/2006,11,193
14730,658,7/19/2006,7,166
15596,775,12/3/2006,11,29
22757,861,2/9/2006,9,326
12960,461,10/13/2006,6,80
17190,1287,5/17/2006,13,229
7393,527,5/2/2006,7,244
27507,1259,10/25/2006,13,68
38046,912,6/14/2006,10,201
28789,1508,10/10/2006,13,83
33551,807,10/11/2005,9,447
21616,995,10/6/2006,16,87
38869,1436,7/8/2006,13,177
7757,1095,9/28/2006,11,95
20083,1128,10/6/2006,14,87
4697,224,11/29/2005,3,398
19776,1073,9/2/2006,13,121
16705,1439,7/12/2006,16,173
22004,1454,1/12/2006,11,354
10972,1071,9/26/2006,10,97
5936,1118,7/11/2006,11,174
2521,1262,8/30/2006,10,124
31716,1314,6/28/2006,10,187
22410,492,9/9/2006,5,114
37614,1372,8/19/2006,14,135
177,457,1/9/2006,7,357
31226,118,8/7/2005,3,512
396,626,8/3/2006,8,151
10584,1209,6/14/2006,10,201
24522,578,12/7/2006,8,25
20085,886,10/22/2006,12,71
18122,559,9/17/2005,5,471
10914,844,8/22/2006,7,132
31578,1703,2/8/2006,17,327
1658,933,10/3/2006,9,90
31570,769,7/16/2006,9,169
32149,657,10/8/2006,6,85
11336,202,10/21/2005,3,437
3356,932,10/14/2006,9,79
34920,763,11/15/2006,10,47
867,732,7/2/2006,9,183
37814,851,6/30/2006,11,185
33666,1043,9/29/2006,13,94
39210,142,8/14/2005,4,505
21650,635,10/31/2006,13,62
38760,748,12/3/2006,9,29
32778,799,6/11/2006,8,204
29092,1267,4/3/2006,15,273
23007,321,8/20/2005,3,499
26203,1116,11/10/2006,10,52
10910,781,10/14/2005,7,444
27285,790,11/29/2006,8,33
37197,1400,8/24/2006,14,130
29609,1025,7/7/2006,12,178
32621,1244,11/9/2006,12,53
18086,1058,9/25/2006,10,98
8824,917,9/24/2006,8,99
17480,1238,6/21/2006,14,194
30005,1405,5/7/2006,13,239
4344,1621,11/1/2006,16,61
17635,582,9/11/2006,10,112
35716,105,10/21/2006,3,72
27183,988,4/24/2006,9,252
12801,1290,8/14/2006,9,140
28732,1021,7/1/2006,10,184
15920,429,7/5/2006,8,180
9119,1716,10/22/2006,16,71
6605,729,12/19/2006,8,13
10472,862,12/5/2006,9,27
18230,924,8/14/2006,10,140
26963,575,12/2/2005,5,395
12108,802,10/14/2006,7,79
21571,1592,11/24/2006,18,38
7052,1223,4/20/2006,14,256
6833,1146,11/28/2005,9,399
15509,1136,9/1/2006,8,122
23492,763,11/27/2006,7,35
20862,712,10/12/2005,7,446
896,560,5/31/2006,8,215
6608,1126,6/10/2006,13,205
32000,312,11/15/2005,4,412
27750,885,4/23/2006,10,253
7581,896,11/6/2006,10,56
352,1095,7/8/2006,10,177
3205,955,10/2/2005,10,456
22309,1153,12/4/2006,9,28
28729,648,10/12/2006,9,81
22337,475,7/25/2006,7,160
18312,358,7/1/2006,6,184
9897,1022,3/27/2006,9,280
30142,590,10/11/2006,10,82
39015,802,9/24/2006,6,99
5687,965,5/5/2006,11,241
28713,82,2/8/2006,3,327
23489,415,7/18/2006,6,167
27345,507,6/21/2006,6,194
32784,1011,3/18/2006,8,289
23606,1140,9/11/2005,12,477
23057,613,4/16/2006,7,260
17232,1246,10/1/2006,12,92
29494,1126,11/17/2006,14,45
3990,888,9/27/2006,13,96
11831,1523,10/9/2006,16,84
33207,1132,10/2/2006,12,91
2703,1325,7/19/2006,13,166
3885,1325,11/17/2006,14,45
6895,838,10/19/2006,9,74
32528,703,11/23/2006,10,39
23371,626,7/29/2006,5,156
13834,545,11/5/2006,6,57
18862,814,9/25/2006,9,98
4280,692,12/3/2006,7,29
14990,1948,10/29/2006,20,64
4772,1450,8/5/2006,13,149
3730,590,8/14/2006,7,140
3059,791,6/13/2006,10,202
39158,931,8/18/2006,10,136
13426,847,11/15/2005,9,412
15680,1556,9/26/2006,14,97
8501,848,11/4/2006,12,58
4919,684,7/3/2005,6,547
11689,783,12/6/2005,7,391
12915,403,5/22/2006,5,224
33635,1196,4/25/2006,12,251
28335,932,9/4/2006,11,119
17202,918,7/13/2006,12,172
21879,775,10/24/2006,11,69
17654,678,9/6/2006,8,117
39733,1025,2/4/2006,8,331
31994,555,5/27/2006,6,219
2573,783,11/6/2006,10,56
36068,709,12/10/2005,7,387
39830,984,2/11/2006,11,324
34275,1121,7/11/2006,9,174
36102,1360,9/10/2006,15,113
22653,809,5/8/2006,8,238
22859,1324,8/4/2006,15,150
31706,639,7/1/2006,7,184
2330,602,10/1/2005,10,457
28552,2162,10/5/2006,18,88
1750,1444,9/25/2006,14,98
19939,808,10/14/2005,10,444
13570,1348,11/1/2006,10,61
37471,1553,9/24/2006,16,99
10485,776,10/7/2005,8,451
29129,1045,11/4/2006,8,58
35712,1125,9/28/2006,8,95
37999,1018,3/4/2006,9,303
21922,1848,7/12/2006,16,173
35380,260,9/15/2006,6,108
34779,632,9/2/2005,7,486
10478,850,8/29/2006,8,125
21975,1041,4/16/2006,10,260
24305,899,8/28/2006,9,126
7538,2092,9/16/2006,19,107
28875,884,7/12/2005,9,538
29590,1576,6/30/2006,15,185
38922,413,7/12/2006,6,173
14148,1462,7/29/2006,14,156
906,1771,8/26/2006,17,128
14094,682,12/31/2005,8,366
11713,465,7/27/2006,6,158
1058,874,9/17/2006,7,106
27141,1207,3/5/2006,16,302
24053,932,7/22/2005,8,528
8688,492,8/25/2006,7,129
7257,648,7/25/2005,7,525
7011,1351,5/6/2006,14,240
35207,910,10/25/2006,10,68
2926,1051,10/11/2006,8,82
32611,947,11/25/2005,7,402
20581,871,12/9/2006,10,23
13652,1119,11/13/2006,11,49
36595,810,8/16/2006,8,138
20128,367,7/6/2006,7,179
38148,901,9/23/2006,13,100
35137,1031,7/26/2006,13,159
11144,1229,12/4/2006,11,28
11074,1674,6/29/2006,16,186
10413,933,8/30/2006,11,124
6265,642,10/23/2005,9,435
12538,593,11/4/2006,6,58
12793,577,8/24/2006,9,130
13002,953,8/22/2006,11,132
35374,641,7/20/2006,11,165
11851,1006,10/20/2005,9,438
11542,1062,6/13/2006,11,202
6290,570,6/27/2006,7,188
36237,616,8/14/2006,7,140
16359,783,6/25/2006,9,190
3164,1248,11/22/2006,11,40
32548,1070,6/2/2006,10,213
33908,1595,7/7/2006,14,178
26463,752,7/1/2006,7,184
15036,1575,5/22/2006,14,224
12365,653,7/22/2006,7,163
28054,596,12/11/2006,7,21
27742,1215,8/4/2006,12,150
21408,954,9/2/2005,9,486
23244,1240,8/3/2006,14,151
7412,335,8/31/2006,5,123
31374,912,9/2/2006,9,121
31042,1006,12/18/2006,12,14
37767,1804,8/11/2006,20,143
240,1040,7/13/2006,10,172
2112,2019,12/20/2006,14,12
24560,1223,8/12/2006,11,142
34438,1266,11/16/2006,12,46
26095,682,10/7/2006,6,86
20191,957,8/2/2006,10,152
33075,570,11/26/2006,8,36
23903,922,8/9/2006,10,145
2021,1384,9/13/2006,14,110
11941,676,7/4/2006,9,181
56,970,9/2/2005,9,486
26674,918,9/24/2006,10,99
36063,963,8/28/2006,9,126
29915,934,8/28/2006,9,126
24798,775,6/24/2006,10,191
1712,772,12/21/2005,11,376
15577,524,8/3/2005,6,516
2147,1103,11/3/2006,14,59
31134,1306,3/10/2006,15,297
5502,521,8/10/2006,7,144
21798,882,12/11/2006,10,21
32547,957,7/17/2006,9,168
25790,1117,12/29/2006,14,3
19619,1250,8/29/2006,13,125
4382,854,9/6/2006,9,117
9782,602,4/16/2006,7,260
5867,959,9/26/2006,8,97
13014,1536,8/13/2006,15,141
26768,365,7/27/2006,5,158
952,609,12/2/2005,7,395
35610,1031,7/3/2006,10,182
21150,930,6/20/2006,10,195
11494,203,9/19/2005,4,469
19151,869,7/22/2006,8,163
21779,800,4/25/2006,8,251
34471,1083,7/30/2006,11,155
9231,1302,6/2/2006,11,213
30564,395,6/28/2005,7,552
14374,1137,6/12/2006,12,203
29133,951,8/6/2006,9,148
8799,1129,6/9/2006,12,206
10194,729,11/23/2005,9,404
3504,516,11/9/2006,7,53
3654,1059,5/31/2006,11,215
7993,735,11/5/2006,11,57
11740,1105,11/26/2005,12,401
7825,550,6/13/2006,8,202
24561,1357,9/15/2006,12,108
14309,1380,11/25/2006,13,37
7314,688,9/25/2006,8,98
38962,1824,7/3/2006,17,182
17591,251,6/16/2004,2,929
39129,1398,7/25/2006,14,160
16207,993,7/28/2006,10,157
35470,1140,7/3/2006,12,182
36619,304,4/30/2006,4,246
6508,576,9/5/2006,8,118
28446,1022,8/30/2006,14,124
17396,1089,8/9/2005,10,510
14881,499,8/20/2006,6,134
30369,862,12/8/2006,7,24
24900,974,12/15/2006,10,17
7880,668,7/15/2006,5,170
17889,845,1/7/2006,10,359
1190,1125,5/26/2006,13,220
30010,1091,8/2/2006,12,152
36840,939,10/5/2006,11,88
36135,1241,12/10/2006,13,22
38837,1186,5/17/2006,12,229
34063,440,8/11/2006,5,143
21722,1068,8/16/2006,10,138
37906,1424,5/8/2006,14,238
29322,935,8/28/2005,7,491
16814,697,11/21/2006,10,41
21323,1022,11/23/2006,10,39
37708,845,11/6/2006,9,56
5005,424,12/17/2005,4,380
35133,1032,7/3/2006,10,182
5712,1413,7/14/2006,10,171
37996,663,11/28/2006,8,34
22884,885,7/9/2006,10,176
16320,1109,11/24/2005,11,403
28100,996,11/11/2006,10,51
32456,579,9/24/2006,9,99
9984,978,10/8/2006,12,85
8898,1025,7/30/2006,10,155
20672,955,7/31/2006,9,154
6956,756,9/19/2006,6,104
4064,693,7/16/2006,8,169
31199,977,8/22/2006,11,132
9706,1018,8/31/2006,12,123
32816,1182,12/3/2006,14,29
6008,819,4/22/2006,7,254
39585,549,7/8/2006,6,177
20698,1566,10/19/2006,17,74
37738,617,10/8/2006,8,85
31321,789,8/27/2006,6,127
38394,598,11/4/2005,7,423
14580,994,10/27/2006,10,66
34768,1035,5/7/2006,9,239
27245,850,9/27/2006,10,96
21420,1191,11/15/2006,9,47
4843,933,10/13/2006,7,80
37659,776,7/1/2006,11,184
37026,1637,8/6/2006,15,148
7226,1004,9/5/2006,10,118
32408,1350,9/27/2006,11,96
5212,910,2/25/2006,8,310
27846,1019,7/11/2006,9,174
30574,1012,3/11/2006,8,296
35,709,11/28/2006,9,34
7188,697,6/17/2006,6,198
2451,768,9/1/2006,12,122
39480,713,7/3/2005,5,547
12665,431,7/25/2006,9,160
13294,514,11/13/2006,7,49
15959,609,2/7/2006,7,328
32371,1285,10/1/2006,15,92
6361,621,3/23/2006,10,284
38781,952,6/12/2006,10,203
7235,995,7/22/2005,10,528
26078,280,8/9/2006,3,145
6065,1179,10/15/2006,13,78
37484,1573,8/24/2006,14,130
18565,1089,10/8/2006,12,85
30849,578,2/10/2006,9,325
37104,908,11/22/2005,10,405
32331,1832,7/24/2006,15,161
14079,660,9/27/2006,8,96
18328,1636,11/21/2006,12,41
11271,774,11/3/2006,8,59
39956,996,9/15/2006,11,108
12407,653,5/17/2006,9,229
30012,655,10/17/2006,9,76
17824,715,10/19/2006,10,74
50,1430,11/11/2006,13,51
1728,1084,8/9/2006,7,145
7486,1051,10/15/2006,10,78
1955,391,3/2/2006,5,305
490,827,8/24/2006,11,130
27447,827,11/29/2006,11,33
27119,132,8/26/2005,4,493
25633,760,8/30/2006,8,124
8731,282,8/1/2006,6,153
2101,800,5/13/2006,11,233
30445,1123,10/2/2006,10,91
7072,681,12/17/2005,8,380
14513,1107,7/20/2006,13,165
19191,801,9/30/2006,7,93
16217,1398,5/2/2006,13,244
1206,790,9/22/2006,8,101
13996,822,4/11/2006,10,265
33286,1184,9/9/2006,11,114
27888,772,9/26/2006,9,97
1240,1161,6/29/2006,8,186
6973,520,5/9/2006,5,237
21033,877,10/15/2006,13,78
30787,391,8/16/2006,5,138
2502,1477,12/13/2006,13,19
39049,371,8/6/2005,5,513
39521,542,5/25/2006,6,221
5891,910,7/18/2006,13,167
38876,1197,10/9/2006,14,84
101,1284,8/24/2006,16,130
16826,656,10/20/2006,7,73
6946,607,6/25/2005,7,555
19857,493,1/11/2006,8,355
33302,1308,3/3/2006,14,304
9672,559,7/15/2006,6,170
24939,1211,12/21/2006,13,11
35757,1322,6/5/2006,13,210
13691,539,11/6/2006,8,56
4822,634,3/8/2006,8,299
13788,1212,9/25/2006,11,98
1683,1009,7/29/2006,11,156
9098,559,4/27/2006,7,249
14477,917,8/10/2006,11,144
20802,1627,12/27/2006,14,5
27731,1523,4/23/2006,14,253
23442,685,8/30/2006,12,124
30913,753,7/30/2006,9,155
26728,503,1/5/2006,7,361
28225,728,11/8/2005,5,419
32603,740,9/1/2006,7,122
30035,774,10/4/2006,8,89
16270,632,9/18/2006,7,105
29715,791,7/20/2006,11,165
2649,700,3/3/2006,9,304
38104,250,5/1/2006,7,245
31971,1348,9/17/2006,15,106
25963,890,6/5/2006,11,210
13309,1038,12/25/2005,8,372
31359,2004,6/17/2006,19,198
32684,1188,8/1/2006,16,153
39834,484,12/29/2006,9,3
13905,1458,12/11/2006,13,21
5968,294,10/10/2005,5,448
16339,1315,6/20/2006,14,195
369,1430,5/10/2006,14,236
165,963,12/26/2005,10,371
36220,1399,2/2/2006,15,333
28247,607,10/15/2006,8,78
1228,556,11/27/2006,6,35
22797,1321,10/16/2006,13,77
16743,1347,9/14/2006,12,109
6793,863,5/5/2006,10,241
22614,175,2/16/2006,4,319
7749,1093,2/23/2006,10,312
591,931,7/30/2005,9,520
13204,798,2/25/2006,10,310
18161,1081,10/13/2006,10,80
18215,1045,5/24/2006,10,222
25124,1013,8/15/2006,10,139
32910,824,5/11/2006,8,235
16871,842,10/29/2006,10,64
11371,445,9/6/2005,6,482
14018,540,12/22/2006,6,10
26657,980,10/25/2006,12,68
13418,1495,5/16/2006,13,230
23028,361,8/27/2006,7,127
17266,939,10/24/2006,7,69
15647,464,8/31/2006,9,123
34156,1069,9/30/2006,13,93
6291,634,1/16/2006,6,350
17157,662,6/26/2006,8,189
25137,1380,11/27/2006,11,35
25911,429,4/18/2006,8,258
1306,848,12/14/2005,11,383
11568,1088,8/25/2006,8,129
24129,1125,7/20/2006,10,165
34387,1166,6/4/2006,10,211
12536,789,5/27/2006,8,219
18315,849,4/4/2006,6,272
8607,851,10/5/2006,10,88
24144,817,2/5/2006,7,330
3746,1402,12/24/2006,16,8
33109,486,8/11/2006,9,143
35933,643,7/16/2006,7,169
7583,1290,6/19/2006,14,196
37113,661,8/20/2005,10,499
37453,1016,7/12/2006,12,173
31946,1152,7/18/2005,10,532
13307,548,1/26/2006,7,340
30995,872,8/21/2006,9,133
25669,652,5/9/2006,10,237
29323,729,10/3/2006,7,90
18379,1073,9/8/2006,15,115
31969,659,9/15/2006,9,108
25289,1027,11/15/2006,8,47
19801,1542,10/23/2006,17,70
37442,596,8/22/2006,6,132
22232,655,7/16/2006,5,169
25577,749,10/28/2005,8,430
17018,354,8/7/2006,8,147
34657,939,9/21/2006,9,102
8105,1196,8/2/2006,13,152
16924,849,1/4/2006,5,362
18821,1173,6/30/2006,14,185
36568,796,7/22/2006,10,163
39780,558,11/8/2006,6,54
18412,563,4/11/2006,5,265
19055,620,10/8/2006,7,85
35973,500,10/4/2005,5,454
38162,1443,3/5/2006,13,302
33921,1512,12/11/2006,13,21
39403,1493,9/19/2006,14,104
19596,1070,10/28/2006,12,65
33864,1765,11/12/2006,13,50
34224,941,5/22/2006,12,224
33110,1332,7/10/2006,16,175
27759,497,9/12/2005,6,476
32907,903,7/24/2006,10,161
26179,953,11/19/2005,8,408
3451,260,6/30/2005,3,550
4987,1536,9/28/2005,12,460
11700,935,3/12/2006,10,295
24653,822,7/1/2006,10,184
15904,960,8/22/2006,8,132
12591,311,6/12/2006,5,203
2698,988,6/9/2006,12,206
12279,660,8/8/2006,8,146
12637,1215,9/22/2006,11,101
15615,1381,7/20/2006,13,165
1704,1274,12/3/2006,11,29
18290,1242,10/8/2006,12,85
31765,426,11/13/2006,6,49
20450,1488,11/16/2006,14,46
20833,994,7/12/2006,10,173
31587,855,11/28/2006,9,34
18697,1344,7/12/2006,13,173
3538,396,2/3/2006,4,332
9104,766,2/23/2006,11,312
17767,1111,12/24/2006,13,8
20426,1039,12/9/2006,12,23
30238,862,8/29/2006,9,125
35081,1217,8/26/2006,10,128
23385,1012,7/14/2006,12,171
10393,792,9/2/2006,10,121
4731,805,1/3/2006,9,363
9686,880,6/16/2006,9,199
17327,923,8/6/2006,9,148
9842,1238,8/13/2006,10,141
38285,1270,12/24/2006,15,8
29082,902,8/18/2006,9,136
72,1800,7/24/2006,16,161
22474,1504,11/26/2006,17,36
18378,1132,12/22/2006,12,10
23724,950,9/15/2006,8,108
5696,1222,5/12/2006,13,234
22205,1035,9/25/2006,11,98
9563,997,7/26/2006,9,159
26508,1190,8/19/2006,12,135
36933,572,10/17/2005,9,441
10929,256,4/7/2005,3,634
2347,980,6/17/2006,9,198
17145,998,8/16/2006,12,138
4622,494,3/19/2006,7,288
3284,635,10/9/2006,9,84
36384,1044,10/3/2006,11,90
17540,932,5/3/2006,12,243
26849,1586,9/9/2006,16,114
24416,857,9/6/2006,10,117
289,1370,10/5/2006,14,88
31384,292,4/15/2005,4,626
11385,1253,11/1/2006,10,61
19764,784,12/4/2006,9,28
4293,411,8/6/2006,4,148
22242,691,7/22/2005,6,528
38069,1188,8/7/2006,13,147
31546,783,11/28/2006,9,34
35285,1103,10/9/2006,12,84
5245,1307,8/2/2006,13,152
16536,926,7/30/2006,11,155
30554,968,2/20/2006,12,315
30810,777,10/1/2005,9,457
31802,967,9/27/2005,7,461
18849,714,8/10/2005,7,509
32511,842,7/17/2006,8,168
7943,1433,8/31/2006,14,123
2682,1070,7/29/2006,11,156
12480,935,7/19/2006,11,166
25173,901,10/11/2006,7,82
11366,944,11/19/2006,8,43
1510,574,7/22/2006,6,163
4098,1188,8/27/2006,11,127
16860,810,7/30/2006,9,155
24725,455,8/8/2004,4,876
17440,1057,5/18/2006,7,228
37929,1216,5/27/2006,10,219
26281,1159,10/4/2006,12,89
21144,1874,12/10/2006,15,22
30740,997,11/2/2005,8,425
34719,1219,9/25/2006,11,98
28203,854,1/30/2006,10,336
6887,913,10/14/2006,10,79
10860,1085,12/3/2006,11,29
17236,410,10/17/2006,6,76
9846,563,11/4/2006,8,58
651,709,9/30/2006,10,93
10448,262,9/3/2006,5,120
1249,1086,10/15/2006,11,78
18830,1573,9/26/2006,16,97
13491,521,9/20/2006,7,103
23031,1299,8/15/2006,11,139
12760,1629,9/14/2006,15,109
23481,1101,9/3/2006,10,120
34092,811,8/23/2006,6,131
25511,1302,6/15/2006,10,200
21352,1036,2/28/2006,9,307
21704,886,4/25/2006,10,251
25295,663,8/2/2006,8,152
38421,900,12/19/2005,11,378
25975,883,8/29/2006,9,125
13281,795,11/27/2006,8,35
17585,2303,11/15/2006,18,47
26930,1077,6/23/2006,11,192
15868,1170,11/14/2006,10,48
2628,1279,4/4/2006,12,272
13242,1200,10/4/2005,7,454
11734,1520,11/17/2006,14,45
4865,1131,10/14/2006,13,79
17240,555,8/22/2005,7,497
31022,967,7/14/2006,11,171
29248,653,7/7/2006,8,178
36014,882,9/24/2006,10,99
4067,1065,10/20/2006,13,73
23125,1064,1/14/2006,11,352
31034,592,9/6/2006,8,117
32295,640,10/28/2006,6,65
23279,596,10/4/2006,6,89
996,523,8/1/2005,5,518
3460,854,10/21/2006,8,72
3649,1140,10/14/2005,11,444
11154,970,6/27/2006,10,188
21130,1205,10/24/2006,11,69
31025,682,12/20/2006,7,12
12400,1538,9/3/2006,15,120
13600,1203,9/7/2006,12,116
36956,644,6/8/2006,12,207
23658,837,8/8/2006,11,146
8264,436,8/4/2006,6,150
30400,868,7/21/2006,9,164
2737,1286,12/8/2005,12,389
32688,854,8/10/2006,9,144
20652,1307,10/22/2006,16,71
11045,759,8/7/2006,8,147
29763,590,10/23/2006,7,70
27169,1000,8/26/2006,12,128
9282,1028,8/26/2006,11,128
33176,1223,8/17/2006,12,137
2267,1647,7/8/2006,14,177
39539,701,11/22/2005,9,405
9471,1560,2/9/2006,13,326
29841,1037,10/6/2005,10,452
20582,559,2/28/2006,8,307
19565,910,4/29/2006,12,247
14581,1934,11/28/2006,19,34
16062,1298,9/6/2006,13,117
5817,619,7/2/2006,7,183
39524,634,12/5/2005,8,392
9387,751,8/10/2006,9,144
30912,1123,10/20/2006,12,73
20771,989,6/11/2006,10,204
25630,741,6/12/2006,9,203
10571,880,8/1/2006,8,153
11695,780,12/9/2005,8,388
1774,699,8/5/2005,9,514
13546,638,8/11/2006,9,143
37658,1054,9/16/2006,11,107
16596,860,6/2/2006,10,213
28131,863,11/2/2006,9,60
11301,681,8/7/2005,9,512
20647,836,6/23/2006,10,192
1336,1181,7/23/2006,12,162
652,784,12/26/2005,10,371
26076,340,10/28/2005,4,430
32527,963,10/2/2006,11,91
32310,1399,11/18/2005,12,409
3490,1043,8/30/2006,11,124
10801,665,8/2/2006,8,152
5149,847,12/6/2006,9,26
11215,873,10/19/2006,11,74
5704,1633,9/14/2006,14,109
39255,463,7/1/2006,5,184
23160,576,9/8/2006,7,115
11068,959,6/9/2006,9,206
